iter	Passed	Remaining
0	1	142
1	3	162
2	4	159
3	5	142
4	7	145
5	9	146
6	11	147
7	13	153
8	15	153
9	17	153
10	18	153
11	20	153
12	22	152
13	24	152
14	26	151
15	28	150
16	30	149
17	32	148
18	34	146
19	36	144
20	37	142
21	39	140
22	41	139
23	43	137
24	45	135
25	46	133
26	48	130
27	49	128
28	51	125
29	52	123
30	54	121
31	55	118
32	57	116
33	58	114
34	60	111
35	61	109
36	63	107
37	64	104
38	65	102
39	66	100
40	67	97
41	68	94
42	69	92
43	70	90
44	71	87
45	72	85
46	73	83
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	80	65
55	81	64
56	82	62
57	83	60
58	83	58
59	84	56
60	85	54
61	86	52
62	86	51
63	87	49
64	88	47
65	89	45
66	90	44
67	90	42
68	91	41
69	92	39
70	93	38
71	93	36
72	94	34
73	95	33
74	95	31
75	96	30
76	97	29
77	98	27
78	98	26
79	99	24
80	100	23
81	101	22
82	101	20
83	102	19
84	103	18
85	103	16
86	104	15
87	105	14
88	106	13
89	106	11
90	107	10
91	108	9
92	109	8
93	109	7
94	110	5
95	111	4
96	111	3
97	112	2
98	113	1
99	114	0
