iter	Passed	Remaining
0	136	136351
1	138	69249
2	141	46973
3	144	35904
4	148	29462
5	150	24949
6	152	21616
7	154	19155
8	156	17210
9	158	15693
10	160	14467
11	163	13430
12	165	12532
13	167	11773
14	169	11103
15	170	10486
16	172	9996
17	175	9582
18	177	9189
19	179	8792
20	181	8444
21	183	8145
22	185	7861
23	186	7587
24	188	7362
25	190	7146
26	192	6950
27	194	6746
28	196	6563
29	198	6420
30	201	6290
31	203	6148
32	206	6040
33	207	5900
34	209	5768
35	209	5622
36	211	5495
37	211	5362
38	213	5267
39	215	5176
40	218	5103
41	220	5034
42	222	4951
43	223	4860
44	225	4775
45	226	4691
46	227	4610
47	228	4531
48	229	4458
49	230	4383
50	231	4307
51	232	4246
52	234	4188
53	235	4131
54	237	4077
55	239	4032
56	240	3982
57	241	3928
58	242	3871
59	244	3834
60	246	3796
61	248	3755
62	249	3714
63	251	3679
64	253	3642
65	254	3606
66	256	3569
67	257	3532
68	259	3497
69	260	3465
70	262	3431
71	263	3396
72	264	3362
73	266	3329
74	267	3295
75	268	3263
76	269	3230
77	270	3199
78	271	3168
79	272	3138
80	274	3111
81	275	3083
82	275	3049
83	276	3020
84	277	2992
85	278	2965
86	279	2937
87	281	2912
88	282	2887
89	283	2862
90	284	2837
91	284	2812
92	285	2787
93	286	2763
94	287	2739
95	288	2717
96	289	2697
97	290	2675
98	291	2653
99	292	2632
100	293	2613
101	294	2595
102	295	2576
103	297	2559
104	297	2539
105	298	2519
106	299	2499
107	300	2479
108	300	2460
109	301	2441
110	302	2423
111	303	2405
112	304	2388
113	305	2372
114	306	2355
115	306	2338
116	307	2320
117	308	2304
118	309	2288
119	309	2271
120	310	2255
121	311	2238
122	311	2223
123	312	2207
124	313	2192
125	314	2178
126	314	2162
127	315	2147
128	315	2133
129	316	2119
130	317	2105
131	318	2091
132	318	2078
133	319	2065
134	320	2053
135	321	2040
136	321	2028
137	322	2015
138	323	2004
139	324	1992
140	325	1981
141	325	1969
142	327	1959
143	328	1950
144	329	1940
145	330	1930
146	331	1920
147	332	1912
148	333	1903
149	334	1894
150	335	1884
151	336	1875
152	336	1865
153	337	1855
154	338	1845
155	339	1836
156	340	1826
157	340	1816
158	341	1807
159	342	1798
160	342	1787
161	343	1777
162	344	1768
163	345	1759
164	345	1750
165	346	1741
166	347	1733
167	348	1725
168	349	1717
169	350	1709
170	350	1701
171	351	1692
172	352	1684
173	353	1676
174	353	1668
175	354	1659
176	355	1651
177	355	1643
178	356	1635
179	357	1627
180	357	1619
181	358	1611
182	359	1603
183	359	1596
184	360	1588
185	361	1581
186	362	1574
187	363	1567
188	363	1561
189	364	1555
190	365	1548
191	366	1542
192	367	1535
193	368	1529
194	368	1522
195	369	1516
196	370	1510
197	371	1504
198	372	1497
199	372	1491
200	373	1484
201	374	1478
202	374	1472
203	375	1465
204	376	1459
205	377	1453
206	377	1447
207	378	1442
208	379	1437
209	380	1432
210	381	1426
211	382	1421
212	383	1415
213	383	1410
214	384	1404
215	385	1398
216	386	1393
217	386	1387
218	387	1381
219	388	1376
220	388	1370
221	389	1365
222	390	1359
223	390	1354
224	391	1348
225	392	1343
226	393	1339
227	394	1334
228	395	1329
229	395	1324
230	396	1319
231	397	1314
232	397	1309
233	398	1304
234	399	1299
235	399	1294
236	400	1289
237	401	1284
238	401	1279
239	402	1274
240	403	1269
241	403	1264
242	404	1260
243	405	1255
244	405	1250
245	406	1246
246	407	1241
247	407	1237
248	408	1232
249	409	1228
250	410	1224
251	411	1220
252	411	1216
253	412	1211
254	413	1207
255	413	1203
256	414	1198
257	415	1194
258	416	1190
259	416	1186
260	417	1181
261	418	1177
262	418	1173
263	419	1169
264	420	1165
265	420	1161
266	421	1157
267	422	1153
268	423	1150
269	423	1146
270	424	1142
271	425	1139
272	426	1135
273	427	1131
274	427	1127
275	428	1123
276	429	1120
277	429	1116
278	430	1112
279	431	1109
280	432	1105
281	432	1101
282	433	1097
283	433	1093
284	434	1090
285	435	1086
286	435	1082
287	436	1079
288	437	1075
289	438	1072
290	438	1068
291	439	1065
292	440	1062
293	441	1059
294	442	1056
295	442	1053
296	443	1049
297	444	1046
298	444	1043
299	445	1039
300	446	1036
301	446	1032
302	447	1029
303	448	1026
304	449	1023
305	449	1020
306	450	1017
307	451	1013
308	451	1010
309	452	1007
310	453	1004
311	453	1000
312	454	997
